query_id,engine,mode,status,cold_s,warm_median_s,warm_p95_s,warm_min_s,warm_max_s,cold_vs_warm,rows_returned,spill,warm_iters,timestamp,workload,wall_time_s,rows_loaded,files_loaded,elapsed_s,rows_per_s,wall_s,batches,batch_size,total_rows,total_s,median_batch_ms,p95_batch_ms,min_batch_ms,max_batch_ms,iterations,errors,submit_median_ms,submit_p95_ms,completion_total_s,semantic_note,rows_affected,submit_elapsed_s,completion_elapsed_s,total_elapsed_s,error,median_ms,p95_ms,min_ms,max_ms
Q01_full_agg,duckdb,local,OK,0.0125,0.001,0.0011,0.0009,0.0011,0.0115,1.0,False,5.0,2026-04-15T18:23:54.041328+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q02_filtered_agg,duckdb,local,OK,0.0055,0.0021,0.0021,0.002,0.0022,0.0034,0.0,False,5.0,2026-04-15T18:23:54.771756+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q03_groupby_low_card,duckdb,local,OK,0.0013,0.0013,0.0014,0.0013,0.0014,-0.0,0.0,False,5.0,2026-04-15T18:23:55.501806+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q04_groupby_high_card,duckdb,local,OK,0.0311,0.0015,0.0015,0.0015,0.0016,0.0296,0.0,False,5.0,2026-04-15T18:23:56.254014+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q05_date_range,duckdb,local,OK,0.0014,0.0014,0.0015,0.0013,0.0015,-0.0,0.0,False,5.0,2026-04-15T18:23:56.962132+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q06_topn,duckdb,local,OK,0.0015,0.0015,0.0016,0.0014,0.0016,-0.0,0.0,False,5.0,2026-04-15T18:23:57.684674+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q07_join,duckdb,local,OK,0.003,0.0026,0.0027,0.0026,0.0027,0.0003,0.0,False,5.0,2026-04-15T18:23:58.385044+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q08_string_like,duckdb,local,OK,0.0021,0.0015,0.0015,0.0013,0.0015,0.0006,0.0,False,5.0,2026-04-15T18:23:59.086975+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q09_approx_distinct,duckdb,local,OK,0.0012,0.0013,0.0014,0.0012,0.0014,-0.0001,0.0,False,5.0,2026-04-15T18:23:59.798619+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10_window_func,duckdb,local,OK,0.0023,0.0017,0.0017,0.0016,0.0017,0.0006,0.0,False,5.0,2026-04-15T18:24:00.498766+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11_json_extract,duckdb,local,OK,0.0032,0.0014,0.0015,0.0014,0.0015,0.0018,0.0,False,5.0,2026-04-15T18:24:01.208844+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12_heavy_spill,duckdb,local,OK,0.0032,0.0024,0.0024,0.0023,0.0025,0.0008,0.0,False,5.0,2026-04-15T18:24:01.942010+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13_multi_dim_groupby,duckdb,local,OK,0.0038,0.0022,0.0023,0.0021,0.0024,0.0016,0.0,False,5.0,2026-04-15T18:24:02.655803+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,duckdb,,OK,,,,,,,,,,2026-04-15T18:24:50.339776+00:00,W1_bulk_load,47.554,10000000.0,,47.351,211189.0,47.682,,,,,,,,,,,,,,,,,,,,,,,
,duckdb,,OK,,,,,,,,,,2026-04-15T18:26:46.942839+00:00,W2_micro_batch,,,,,4303.0,116.602,50.0,10000.0,500000.0,116.192,109.45,121.12,103.88,129.47,,,,,,,,,,,,,,,
,duckdb,,OK,,,,,,,,,,2026-04-15T18:26:55.728421+00:00,W3_point_update,,,,,,8.785,,,,8.596,,,,,1000.0,0.0,,,,"Standard MVCC UPDATE — fully ACID, in-place.",,,,,,8.638,9.623,5.618,18.217
,duckdb,,OK,,,,,,,,,,2026-04-15T18:26:56.615676+00:00,W4_bulk_update,,,,0.75,83137.0,0.887,,,,,,,,,,,,,,"Standard MVCC bulk UPDATE — ACID, full predicate pushdown.",62345.0,,,,,,,,
